-1.28,19754.1,1298,-57568.8,-22350.1,-5192
-1.29,20046.8,1300.32,-59186.4,-22647.4,-5201.27
-1.3,20337.1,1302.38,-60811.5,-22941.9,-5209.5
-1.31,20634.4,1304.58,-62497.9,-23243.5,-5218.31
-1.32,20938.8,1306.92,-64248.9,-23552.6,-5227.69
-1.33,21240.4,1309,-66005.9,-23858.4,-5235.99
-1.34,21549.3,1311.22,-67829.4,-24171.7,-5244.86
-1.35,21854.9,1313.15,-69656.2,-24481.2,-5252.6
-1.36,22167.7,1315.22,-71551.2,-24798.2,-5260.89
-1.37,22488,1317.44,-73517.7,-25122.9,-5269.75
-1.38,22804.6,1319.35,-75485.2,-25443.3,-5277.42
-1.39,23128.6,1321.41,-77526,-25771.4,-5285.64
-1.4,23460.3,1323.61,-79643.5,-26107.5,-5294.42
-1.41,23787.7,1325.49,-81759,-26438.7,-5301.95
-1.42,24122.8,1327.51,-83952.9,-26777.8,-5310.03
-1.43,24452.8,1329.2,-86140.1,-27111.2,-5316.79
-1.44,24790.6,1331.02,-88407,-27452.6,-5324.09
-1.45,25136.2,1332.98,-90757.4,-27802.1,-5331.93
-1.46,25490,1335.08,-93195.4,-28160.1,-5340.33
-1.47,25838,1336.83,-95622.5,-28511.6,-5347.33
-1.48,26194.1,1338.72,-98138.5,-28871.5,-5354.87
-1.49,26543.6,1340.24,-100637,-29224.1,-5360.94
-1.5,26901.2,1341.89,-103225,-29584.9,-5367.54
-1.51,27266.9,1343.67,-105907,-29954.3,-5374.67
-1.52,27641.2,1345.58,-108687,-30332.4,-5382.34
-1.53,28007.9,1347.11,-111443,-30702.2,-5388.45
-1.54,28383.1,1348.77,-114298,-31080.6,-5395.09
-1.55,28766.8,1350.56,-117256,-31468,-5402.26
-1.56,29159.6,1352.49,-120322,-31864.6,-5409.97
-1.57,29543.6,1354.01,-123355,-32251.6,-5416.04
-1.58,29936.4,1355.65,-126497,-32647.7,-5422.62
-1.59,30319.3,1356.87,-129595,-33033.1,-5427.48
-1.6,30730.1,1358.78,-132963,-33447.7,-5435.11
